id,json_body,trade_time_int
165,"{""last"":274142,""bid"":274118,""ask"":274142,""high"":276000,""low"":263200,""volume"":""10351.42632087"",""timestamp"":1496144195}",20170530203644
166,"{""last"":274157,""bid"":274144,""ask"":274193,""high"":276000,""low"":263200,""volume"":""10351.86157087"",""timestamp"":1496144205}",20170530203654
167,"{""last"":274158,""bid"":274168,""ask"":274191,""high"":276000,""low"":263200,""volume"":""10351.89017087"",""timestamp"":1496144215}",20170530203704
168,"{""last"":274167,""bid"":274167,""ask"":274181,""high"":276000,""low"":263200,""volume"":""10352.55229698"",""timestamp"":1496144234}",20170530203714
169,"{""last"":274167,""bid"":274167,""ask"":274181,""high"":276000,""low"":263200,""volume"":""10352.55229698"",""timestamp"":1496144234}",20170530203724
170,"{""last"":274155,""bid"":274165,""ask"":274181,""high"":276000,""low"":263200,""volume"":""10351.56449698"",""timestamp"":1496144245}",20170530203734
171,"{""last"":274165,""bid"":274165,""ask"":274181,""high"":276000,""low"":263200,""volume"":""10351.60827698"",""timestamp"":1496144255}",20170530203744
172,"{""last"":274192,""bid"":274179,""ask"":274181,""high"":276000,""low"":263200,""volume"":""10350.64295221"",""timestamp"":1496144274}",20170530203754
173,"{""last"":274181,""bid"":274176,""ask"":274181,""high"":276000,""low"":263200,""volume"":""10350.62410234"",""timestamp"":1496144284}",20170530203804
174,"{""last"":274181,""bid"":274176,""ask"":274181,""high"":276000,""low"":263200,""volume"":""10350.62410234"",""timestamp"":1496144284}",20170530203814
175,"{""last"":274179,""bid"":274179,""ask"":274194,""high"":276000,""low"":263200,""volume"":""10350.24814932"",""timestamp"":1496144294}",20170530203824
176,"{""last"":274092,""bid"":274177,""ask"":274180,""high"":276000,""low"":263200,""volume"":""10348.60491979"",""timestamp"":1496144305}",20170530203835
177,"{""last"":274177,""bid"":274177,""ask"":274192,""high"":276000,""low"":263200,""volume"":""10348.30620979"",""timestamp"":1496144315}",20170530203845
178,"{""last"":274177,""bid"":274177,""ask"":274193,""high"":276000,""low"":263200,""volume"":""10347.79840979"",""timestamp"":1496144326}",20170530203855
179,"{""last"":274175,""bid"":274175,""ask"":274177,""high"":276000,""low"":263200,""volume"":""10347.42623979"",""timestamp"":1496144345}",20170530203905
180,"{""last"":274082,""bid"":274091,""ask"":274174,""high"":276000,""low"":263200,""volume"":""10347.31709432"",""timestamp"":1496144355}",20170530203915
