id,json_body,trade_time_int,pair
203,"{""rate"":""263101.5""}",20170529124621,btc_jpy
204,"{""rate"":""262922.0""}",20170529124631,btc_jpy
205,"{""rate"":""262905.5""}",20170529124641,btc_jpy
206,"{""rate"":""262965.0""}",20170529124651,btc_jpy
207,"{""rate"":""262987.5""}",20170529124701,btc_jpy
208,"{""rate"":""262994.0""}",20170529124712,btc_jpy
209,"{""rate"":""262970.0""}",20170529124722,btc_jpy
210,"{""rate"":""263138.5""}",20170529124732,btc_jpy
211,"{""rate"":""263143.0""}",20170529124742,btc_jpy
212,"{""rate"":""263151.0""}",20170529124752,btc_jpy
213,"{""rate"":""263309.0""}",20170529124802,btc_jpy
214,"{""rate"":""263316.0""}",20170529124812,btc_jpy
215,"{""rate"":""263753.0""}",20170529124822,btc_jpy
216,"{""rate"":""263830.0""}",20170529124832,btc_jpy
217,"{""rate"":""263846.0""}",20170529124842,btc_jpy
218,"{""rate"":""264399.5""}",20170529124852,btc_jpy
219,"{""rate"":""264404.5""}",20170529124902,btc_jpy
220,"{""rate"":""264450.0""}",20170529124912,btc_jpy
221,"{""rate"":""264449.0""}",20170529124922,btc_jpy
222,"{""rate"":""264452.5""}",20170529124932,btc_jpy
223,"{""rate"":""264750.5""}",20170529124942,btc_jpy
224,"{""rate"":""264748.0""}",20170529124952,btc_jpy
225,"{""rate"":""264781.5""}",20170529125003,btc_jpy
226,"{""rate"":""264753.0""}",20170529125013,btc_jpy
227,"{""rate"":""264468.0""}",20170529125023,btc_jpy
228,"{""rate"":""264454.0""}",20170529125033,btc_jpy
229,"{""rate"":""264575.0""}",20170529125043,btc_jpy
230,"{""rate"":""264601.0""}",20170529125053,btc_jpy
231,"{""rate"":""264760.5""}",20170529125103,btc_jpy
232,"{""rate"":""264668.0""}",20170529125113,btc_jpy
233,"{""rate"":""264673.0""}",20170529125123,btc_jpy
234,"{""rate"":""264836.5""}",20170529125133,btc_jpy
235,"{""rate"":""264769.0""}",20170529125143,btc_jpy
236,"{""rate"":""264851.5""}",20170529125153,btc_jpy
